id_documento,ano,genero,local,tema,palavras,pessoas,paginas,texto,texto_comparacao
D001,1890,editorial,Capital,educação,320,0,1,A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.,"A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação. A direção argumenta sobre prioridades e futuro coletivo. O debate menciona conselho urbano, circulação e orçamento. marca didática documento 1"
D002,1891,notícia,Capital,trabalho,367,3,2,O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.,"O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito. A notícia descreve acontecimentos, locais e participantes. O debate menciona conselho urbano, circulação e orçamento. marca didática documento 2"
D003,1892,carta,Capital,progresso,414,6,3,A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.,"A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo. A pessoa remetente comenta experiência, dúvida e reivindicação. O debate menciona conselho urbano, circulação e orçamento. marca didática documento 3"
D004,1893,editorial,Interior,saúde,461,9,4,A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social.,"A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social. A direção argumenta sobre prioridades e futuro coletivo. O debate menciona distrito, distância e associação local. marca didática documento 4"
D005,1894,notícia,Interior,educação,508,1,5,A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.,"A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação. A notícia descreve acontecimentos, locais e participantes. O debate menciona distrito, distância e associação local. marca didática documento 5"
D006,1895,carta,Interior,trabalho,555,4,6,O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.,"O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito. A pessoa remetente comenta experiência, dúvida e reivindicação. O debate menciona distrito, distância e associação local. marca didática documento 6"
D007,1896,editorial,Capital,progresso,602,7,1,A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.,"A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo. A direção argumenta sobre prioridades e futuro coletivo. O debate menciona conselho urbano, circulação e orçamento. marca didática documento 7"
D008,1897,notícia,Capital,saúde,649,10,2,A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social.A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social.,"A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social.A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social. A notícia descreve acontecimentos, locais e participantes. O debate menciona conselho urbano, circulação e orçamento. marca didática documento 8"
D009,1898,carta,Capital,educação,696,2,3,A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.,"A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação. A pessoa remetente comenta experiência, dúvida e reivindicação. O debate menciona conselho urbano, circulação e orçamento. marca didática documento 9"
D010,1899,editorial,Interior,trabalho,743,5,4,O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.,"O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito. A direção argumenta sobre prioridades e futuro coletivo. O debate menciona distrito, distância e associação local. marca didática documento 10"
